calle;calleClean;name;surname;fiabilidad;gender;wikipedia
José Gervasio Artigas;José Gervasio Artigas;José;Gervasio;-2;Male;
Colectora Presidente Nestor Kirchner;Colectora Presidente Nestor Kirchner;Colectora;Presidente;-2;Male;
Avenida Padre Gallay;Padre Gallay;Padre;Gallay;0;Male;
Colectora Presidente Raúl Alfonsín;Colectora Presidente Raúl Alfonsín;Colectora;Presidente;-2;Male;
Ruta Tres Hermanas;Ruta Tres Hermanas;Ruta;Tres;2;Female;
Cepeda;Cepeda;Cepeda;;0;Male;
San Antonio;San Antonio;San;Antonio;-2;Male;
Gregoria Perez;Gregoria Perez;Gregoria;Perez;2;Female;
Monseñor Cagliero;Monseñor Cagliero;Monseñor;Cagliero;0;Male;
Av. Siburu;Siburu;Siburu;;0;Male;
Angel Caprotti;Angel Caprotti;Angel;Caprotti;-2;Male;
Angel Tonina;Angel Tonina;Angel;Tonina;-2;Male;
Pje. R. Gaitan;Pje. R. Gaitan;Pje.;R.;0;Male;
Blanca Irma Berta;Blanca Irma Berta;Blanca;Irma;2;Female;
Benito Masetto;Benito Masetto;Benito;Masetto;-2;Male;
Avenida Adriano Siburu;Adriano Siburu;Adriano;Siburu;-2;Male;
Virgen de Luján;Virgen de Luján;Virgen;de;2;Female;https://es.wikipedia.org/wiki/Nuestra_Se%C3%B1ora_de_Luj%C3%A1n
Avenida Belgrano;Belgrano;Belgrano;;0;Male;
Comandante Andresito;Comandante Andresito;Comandante;Andresito;0;Male;
Almirante Brown;Almirante Brown;Almirante;Brown;0;Male;
Obispo Angelelli;Obispo Angelelli;Obispo;Angelelli;0;Male;
Avenida Almirante Brown;Almirante Brown;Almirante;Brown;0;Male;
Presbitero Fochesatto;Presbitero Fochesatto;Presbitero;Fochesatto;0;Male;
Presidente Hugo Chávez;Presidente Hugo Chávez;Presidente;Hugo;-2;Male;
Juan Domingo Perón;Juan Domingo Perón;Juan;Domingo;-2;Male;
Alvarez Condarco;Alvarez Condarco;Alvarez;Condarco;0;Male;
Lopez Jordán;Lopez Jordán;Lopez;Jordán;-2;Male;
Avenida Eva Perón;Eva Perón;Eva;Perón;2;Female;https://es.wikisource.org/wiki/Autor:Eva_Per%C3%B3n
Pio XII;Pio XII;Pio;XII;-2;Male;
Dr. Planas;Dr. Planas;Dr.;Planas;0;Male;
Jaime Tabeni;Jaime Tabeni;Jaime;Tabeni;-2;Male;
Salvarredy;Salvarredy;Salvarredy;;0;Male;
Mariano Moreno;Mariano Moreno;Mariano;Moreno;-2;Male;
